Actual,Predicted
96189.214283,
101180.232143,
106772.014286,
112809.196429,
119351.946428,
124927.535714,
130686.249998,
135431.107142,
139579.089288,
143537.30357,
148431.303571,
152315.636904,
155804.732143,
159531.357142,
161954.392858,
163926.035713,
165896.517856,
167996.875,
168851.839287,
169326.732143,
169688.196429,
169961.749998,
170161.285714,
123625.892857,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
108152.0,
95004.142857,
3830.5,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
27.196428573,
247.10714285,
623.08928572,
1185.37499999,
1891.44642857,
3209.3750001,
5494.75,
7907.5178572,
10484.0,
13281.4392858,
15032.9285714,
16730.875,
19146.3392857,
22088.5773811,
25367.303573,
28433.660714999998,
31855.589286,
35857.196429,
40370.696428,
43523.214285,
48512.392858,
52244.064286,
57864.720238,
64758.017857,
71682.357142,
77724.357143,
82999.232142,
88505.214285,
94132.871033,
100675.821429,
106670.625,
111801.535714,
116824.696428,
122009.482144,
126864.660714,
132593.517856,
138006.357142,
142354.517855,
145005.499999,
147709.42857,
149639.035714,
151285.214288,
152624.410715,
153765.80357,
154708.910715,
155486.232142,
156003.732145,
156358.517857,
156564.124998,
156671.767856,
156698.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
71595.0,
68697.857143,
4711.089285,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
562.16666667,
951.82142856,
1723.26785714,
3186.8035714,
5058.75,
7150.7678572,
10030.2499999,
14190.8214286,
18317.5892854,
22589.303571,
27185.571429,
31941.553572,
36123.285715,
41372.267856,
46034.303572,
50841.285716,
55557.732141,
61040.25,
67309.053573,
74055.357142,
80949.928571,
87632.000001,
94647.714285,
101514.071429,
107114.714286,
112296.92857,
118450.089286,
124645.51785599999,
131243.410715,
137723.053569,
142397.696429,
146630.339285,
150582.642856,
154053.410714,
157866.517857,
162235.035713,
166652.285713,
170353.232142,
173787.125001,
176744.035715,
179376.249999,
181374.517858,
183016.714287,
184335.767858,
185283.75,
186069.107144,
186584.892858,
186726.428572,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
186728.0,
170940.571429,
6807.928571,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
14.928571429,
146.821428571,
441.71428569,
950.71428572,
1737.75000001,
2869.3214285,
4380.875,
6304.1249999,
8714.4285716,
11304.0178571,
14697.3928572,
17934.5178572,
21254.1428568,
25102.125,
29390.303573,
33331.125,
36931.196429,
40833.75,
45745.30357,
51363.089286,
57678.839285,
63187.571428,
69591.178571,
76075.660715,
82029.928572,
88699.303571,
95180.464286,
101515.589286,
108065.767858,
114542.32143,
120442.339285,
126030.0,
131590.285715,
136840.75,
142179.589287,
146575.571428,
151334.571427,
155515.410713,
158149.214284,
160057.428572,
161748.964285,
164309.517858,
166298.5,
168173.160714,
170384.446429,
172188.410713,
173353.839285,
174105.732142,
174560.125,
174817.999999,
174961.232144,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
174989.0,
161031.857143,
5213.678572,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
65.642857145,
361.19642857,
861.17857143,
1624.10714285,
2743.6964285,
4176.8571431,
5817.375,
7840.8571429,
10310.875,
13688.1428572,
17504.0,
21738.2857132,
26377.5,
31344.285713999998,
36562.035715,
42129.035714,
47713.553572000004,
53514.767857,
59612.982142,
65957.571429,
72343.839287,
78906.392857,
85510.214288,
92260.589286,
98966.285714,
105721.375,
112448.571431,
119121.375,
125704.452382,
131937.428572,
138115.446428,
144251.642857,
150186.910712,
155770.910715,
160924.821429,
166105.428573,
171285.035715,
175643.750001,
180232.678572,
184645.857142,
187745.25,
189547.285714,
